"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"Accumbens_l.Px.Rat..W.Schiffer.",1,58,7.60305134578861,2.32228481597682,7.45498909199094,7.5016223151369,2.4753025043129,3.115,12.8555891238671,9.74058912386707,0.371621867111333,-0.545149823909774,0.304930935270213
"Accumbens_r.Px.Rat..W.Schiffer.",2,58,7.86694682462278,2.49237888946321,7.6785,7.71853706759385,2.3536275,2.81,13.8874692874693,11.0774692874693,0.519009767186347,-0.226640909421113,0.32726538131029
"Amygdala_l.Px.Rat..W.Schiffer.",3,58,5.79606983058033,1.85486195377657,5.51740393672601,5.74444808591425,1.79042181242652,2.415,9.98312858312859,7.56812858312859,0.316413393251885,-0.797796597849533,0.243555306597618
"Amygdala_r.Px.Rat..W.Schiffer.",4,58,5.89939835685405,1.83076149313128,5.76201275280472,5.83078886571433,1.64422230730828,2.453,11.0945126945127,8.64151269451269,0.470795041758539,-0.182550494692833,0.240390761080008
"Striatum_l.Px.Rat..W.Schiffer.",5,58,8.48452218230988,2.1878014165535,8.19210983981693,8.4244468798871,1.90416650211366,3.607,13.9321052631579,10.3251052631579,0.291241122932689,0.072848344499556,0.287272399813088
"Striatum_r.Px.Rat..W.Schiffer.",6,58,8.6306746758488,2.27674666071506,8.55103290426083,8.54053059011551,1.86675891900752,3.68,13.8924471299094,10.2124471299094,0.329014322527698,0.116742957129766,0.298951482543779
"AuditoryCortex_l.Px.Rat..W.Schiffer.",7,58,6.61371249876126,1.6763565914631,6.45535417268072,6.60096983134178,1.2587274,3.041,10.4276822276822,7.38668222768223,0.118528746993837,-0.294671505406404,0.220116404225903
"AuditoryCortex_r.Px.Rat..W.Schiffer.",8,58,6.32730223117539,1.62324999984949,6.28713615560641,6.31054416005893,1.62230318837949,2.80943637509527,10.4856674856675,7.67623111057222,0.154661910436254,0.242340559500404,0.213143167119782
"CingulateCortex_l.Px.Rat..W.Schiffer.",9,58,7.74576703734206,1.90205846393408,7.78855007326604,7.71834708916576,1.9214496,3.312,11.9932841932842,8.68128419328419,0.0268291085222079,-0.350028646790002,0.249752511989827
"CingulateCortex_r.Px.Rat..W.Schiffer.",10,58,7.84256784890259,1.96185921379197,7.6709707060854,7.80362732834317,1.84905702664903,3.469,11.9208009153318,8.45180091533181,0.118740757593549,-0.436701010689683,0.257604735136004
"EntorhinalCortex_l.Px.Rat..W.Schiffer.",11,58,6.45547631628382,1.9668510567654,6.30103976914127,6.41423272303515,2.05278375920828,2.45,10.553316953317,8.10331695331696,0.235401923628996,-0.847624856029849,0.25826019623024
"EntorhinalCortex_r.Px.Rat..W.Schiffer.",12,58,6.34161171542034,1.80857078586298,6.38562488002021,6.30950801001531,1.79857894711796,2.586,10.8625716625717,8.27657166257166,0.192496222778923,-0.460230470258932,0.237476978465973
"FrontalAssociationCortex_l.Px.Rat..W.Schiffer.",13,58,6.10806691394788,1.85173730618623,6.33782351778656,6.10163199485765,2.29068138900112,2.32219098542128,9.55663615560641,7.23444517018513,-0.0486869878334656,-1.1374078415937,0.243145020268586
"FrontalAssociationCortex_r.Px.Rat..W.Schiffer.",14,58,6.31857372336535,1.79744257116921,6.12856756756757,6.24347553887838,2.03200098982721,2.968,10.2447139588101,7.27671395881007,0.267957359218546,-0.747959977732295,0.236015772290437
"InsularCortex_l.Px.Rat..W.Schiffer.",15,58,7.66290164606143,2.35481491216061,7.19428936334996,7.58700669741119,2.54115057447371,2.788,12.6088787185355,9.82087871853547,0.303793936892415,-0.694640941984803,0.30920234616069
"InsularCortex_r.Px.Rat..W.Schiffer.",16,58,7.40547773950485,2.10656924983861,7.53839857083571,7.35630789937264,2.47654973243243,2.894,11.9208009153318,9.02680091533181,0.178897479166649,-0.616530089109656,0.27660609376829
"MedialPrefrontalCortex_l.Px.Rat..W.Schiffer.",17,58,8.30752520205057,2.30856203317163,8.10381888343486,8.24483239337219,2.31397530900654,3.836,13.5204347826087,9.68443478260869,0.270570130207919,-0.487740630269762,0.303129045611155
"MedialPrefrontalCortex_r.Px.Rat..W.Schiffer.",18,58,8.4138377540304,2.39807821507246,8.15493619739142,8.31051134349144,2.2471632864369,3.698,14.0732494279176,10.3752494279176,0.374150528220327,-0.344187883690027,0.314883096139775
"MotorCortex_l.Px.Rat..W.Schiffer.",19,58,6.69856827116638,1.67016421264139,6.85799281090284,6.72443491530958,1.97800998322988,3.233,10.1329748283753,6.89997482837528,-0.13547658455021,-0.819741676097209,0.219303305051908
"MotorCortex_r.Px.Rat..W.Schiffer.",20,58,6.94296169905631,1.63586483246533,6.8781359300477,6.9288396246676,1.88162092988871,3.273,10.518,7.245,0.0207528534068063,-0.585440214960343,0.214799575791691
"OrbitofrontalCortexl_l.Px.Rat..W.Schiffer.",21,58,8.07724037381985,2.27522240220007,8.24035957467821,8.02247734802593,2.63692118280132,3.97,12.9205720823799,8.95057208237986,0.141230750938654,-1.04231404693466,0.298751337595419
"OrbitofrontalCortex_r.Px.Rat..W.Schiffer.",22,58,8.2549325099102,2.32250496358188,8.428,8.18453939671596,2.51663495084494,3.641,14.0614874141876,10.4204874141876,0.261832615760873,-0.512207904232283,0.304959842066936
"ParACortex_l.Px.Rat..W.Schiffer.",23,58,6.56245858794673,1.4859453028184,6.56405733801846,6.59393446487379,1.38417648796069,3.361,10.1184275184275,6.75742751842752,-0.128422099501181,-0.149886438316452,0.195114177137744
"ParACortex_r.Px.Rat..W.Schiffer.",24,58,6.41978465096598,1.49331201264252,6.49775629290618,6.40548092978747,1.3895761798627,3.054,10.1682608695652,7.11426086956522,0.0999593283887092,0.172559206744961,0.196081473526662
"RetrosplenialCortex_l.Px.Rat..W.Schiffer.",25,58,6.71630268802734,1.55482793791952,6.81101940181686,6.71412294186512,1.45432791785593,3.212,10.6402948402948,7.42829484029484,0.0413646464864026,0.0167586401919189,0.20415891023885
"RetrosplenialCortex_r.Px.Rat..W.Schiffer.",26,58,6.66896398769655,1.58461158044632,6.7485,6.65960558251309,1.62127210111056,3.329,10.6789516789517,7.34995167895168,0.112767449509563,-0.182023546627428,0.208069694096613
"SomatosensoryCortex_l.Px.Rat..W.Schiffer.",27,58,7.31118102780713,1.73858428599279,7.2475,7.30378115151513,1.55364855286353,3.137,11.4326773455378,8.29567734553776,0.0431235400557306,-0.151339221418154,0.228287300819681
"SomatosensoryCortex_r.Px.Rat..W.Schiffer.",28,58,7.19703617738546,1.67343774851195,7.27049686825812,7.19355682739524,1.6338252,3.25,11.0562929061785,7.80629290617849,0.0152331705507836,-0.145749805308595,0.21973314136991
"VisualCortex_l.Px.Rat..W.Schiffer.",29,58,6.41243741140796,1.48830812987898,6.52644817283601,6.42249967063339,1.3383554493984,3.25491711614,10.1087633087633,6.85384619262331,-0.00428529023403409,-0.0949305732092545,0.195424431530534
"VisualCortex_r.Px.Rat..W.Schiffer.",30,58,6.21456608446778,1.48559252072939,6.27481680759454,6.19818115090913,1.19243546520746,3.16221030955033,10.2211899313501,7.05897962179978,0.18675312419091,0.233618126644757,0.195067854580059
"HippocampusAnteroDorsal_l.Px.Rat..W.Schiffer.",31,58,7.66241820249652,2.07147739325277,7.30070078733716,7.59008769704005,2.05563786391097,3.417,12.8628398791541,9.44583987915408,0.3792988059828,-0.128133629748012,0.271998307257578
"HippocampusAnteroDorsal_r.Px.Rat..W.Schiffer.",32,58,7.65903512578411,2.12108974173806,7.53273678528183,7.57571533954253,2.17014624549075,3.379,12.8483383685801,9.46933836858006,0.398932685796842,-0.0985511162337804,0.278512727762975
"HippocampusPosterior_l.Px.Rat..W.Schiffer.",33,58,6.65554574775243,1.96120166156982,6.52109296854375,6.59644614280275,1.94969914054054,2.841,11.3401812688822,8.49918126888218,0.320637982125635,-0.553420033326158,0.257518394299294
"HippocampusPosterior_r.Px.Rat..W.Schiffer.",34,58,6.69308435544989,1.90025560536507,6.50385484982664,6.6200531937911,1.65746185102703,2.805,11.61638001638,8.81138001638002,0.394528307272796,-0.046535379773907,0.24951578506218
"Hypothalamus_l.Px.Rat..W.Schiffer.",35,58,6.17123779964718,2.14936209258431,5.90022879022225,6.04029259251345,2.33949320824417,2.305,11.3691842900302,9.06418429003021,0.511748947866583,-0.476973323141141,0.282225069301155
"Hypothalamus_r.Px.Rat..W.Schiffer.",36,58,6.17566940887522,2.16827299688079,5.91139537614626,6.02749778417134,2.21929708467444,2.364,11.2877968877969,8.92379688779689,0.522835516475742,-0.401604089621667,0.284708192686476
"Olfactory_l.Px.Rat..W.Schiffer.",37,58,7.22568334505203,2.54938709832862,6.8975342528887,7.13483853874393,3.03419168333278,2.789,12.4148054919908,9.62580549199085,0.270747184076941,-0.975588101504325,0.334750925860129
"Olfactory_r.Px.Rat..W.Schiffer.",38,58,7.55411661272713,2.68183973609673,7.5516778671067,7.44532535131916,3.03692333191144,2.628,13.2322654462243,10.6042654462243,0.314430781780276,-0.765305664895997,0.352142809248321
"ColliculusSuperior_l.Px.Rat..W.Schiffer.",39,58,8.04166659516474,2.12757712733218,7.86152106198769,7.94458707390115,1.63798530288752,3.596,13.0731117824773,9.47711178247734,0.380382475266419,-0.102755427875396,0.279364563223924
"ColliculusSuperior_r.Px.Rat..W.Schiffer.",40,58,8.02636634220939,2.14457080549675,7.80673979491062,7.9402750240578,1.99856868687218,3.602,13.1166163141994,9.5146163141994,0.360240156171101,-0.154198405233087,0.28159594248488
"Midbrain_l.Px.Rat..W.Schiffer.",41,58,7.68096157728268,2.23023741685073,7.39226468753079,7.58138966153725,1.99943816993083,3.13,13.1311178247734,10.0011178247734,0.448374301936603,-0.230516058339973,0.292844519636952
"Midbrain_r.Px.Rat..W.Schiffer.",42,58,7.63630124801786,2.17757924211796,7.43784181926648,7.5443394692053,2.06989304343948,3.299,13.0658610271903,9.76686102719033,0.434041439782703,-0.112210130971346,0.285930162551887
"VentralTegmentalArea_l.Px.Rat..W.Schiffer.",43,58,6.77494657251346,2.16581227807575,6.301,6.66652024668967,2.02249551033318,2.954,12.1160120845921,9.16201208459215,0.499529449059676,-0.40174598965087,0.284385084477917
"VentralTegmentalArea_r.Px.Rat..W.Schiffer.",44,58,6.64774561870166,2.0660902212334,6.35175265180125,6.52768954098685,1.93411508388206,2.814,12.0416052416052,9.22760524160524,0.557435540556536,-0.138367586372435,0.271290936916513
"Cerebellum_GM_l.Px.Rat..W.Schiffer.",45,58,6.40119560605231,1.7617716754295,6.25843417787351,6.33551663439777,1.70457024019039,2.789,11.2150800915332,8.42608009153318,0.458502778043864,0.209149482166456,0.231331954213945
