"","Accumbens_l.Px.Rat..W.Schiffer.","Accumbens_r.Px.Rat..W.Schiffer.","Amygdala_l.Px.Rat..W.Schiffer.","Amygdala_r.Px.Rat..W.Schiffer.","Striatum_l.Px.Rat..W.Schiffer.","Striatum_r.Px.Rat..W.Schiffer.","AuditoryCortex_l.Px.Rat..W.Schiffer.","AuditoryCortex_r.Px.Rat..W.Schiffer.","CingulateCortex_l.Px.Rat..W.Schiffer.","CingulateCortex_r.Px.Rat..W.Schiffer.","EntorhinalCortex_l.Px.Rat..W.Schiffer.","EntorhinalCortex_r.Px.Rat..W.Schiffer.","FrontalAssociationCortex_l.Px.Rat..W.Schiffer.","FrontalAssociationCortex_r.Px.Rat..W.Schiffer.","InsularCortex_l.Px.Rat..W.Schiffer.","InsularCortex_r.Px.Rat..W.Schiffer.","MedialPrefrontalCortex_l.Px.Rat..W.Schiffer.","MedialPrefrontalCortex_r.Px.Rat..W.Schiffer.","MotorCortex_l.Px.Rat..W.Schiffer.","MotorCortex_r.Px.Rat..W.Schiffer.","OrbitofrontalCortexl_l.Px.Rat..W.Schiffer.","OrbitofrontalCortex_r.Px.Rat..W.Schiffer.","ParACortex_l.Px.Rat..W.Schiffer.","ParACortex_r.Px.Rat..W.Schiffer.","RetrosplenialCortex_l.Px.Rat..W.Schiffer.","RetrosplenialCortex_r.Px.Rat..W.Schiffer.","SomatosensoryCortex_l.Px.Rat..W.Schiffer.","SomatosensoryCortex_r.Px.Rat..W.Schiffer.","VisualCortex_l.Px.Rat..W.Schiffer.","VisualCortex_r.Px.Rat..W.Schiffer.","HippocampusAnteroDorsal_l.Px.Rat..W.Schiffer.","HippocampusAnteroDorsal_r.Px.Rat..W.Schiffer.","HippocampusPosterior_l.Px.Rat..W.Schiffer.","HippocampusPosterior_r.Px.Rat..W.Schiffer.","Hypothalamus_l.Px.Rat..W.Schiffer.","Hypothalamus_r.Px.Rat..W.Schiffer.","Olfactory_l.Px.Rat..W.Schiffer.","Olfactory_r.Px.Rat..W.Schiffer.","ColliculusSuperior_l.Px.Rat..W.Schiffer.","ColliculusSuperior_r.Px.Rat..W.Schiffer.","Midbrain_l.Px.Rat..W.Schiffer.","Midbrain_r.Px.Rat..W.Schiffer.","VentralTegmentalArea_l.Px.Rat..W.Schiffer.","VentralTegmentalArea_r.Px.Rat..W.Schiffer.","Cerebellum_GM_l.Px.Rat..W.Schiffer.","Cerebellum_GM_r.Px.Rat..W.Schiffer.","Cerebellum_WM_l.Px.Rat..W.Schiffer.","Cerebellum_WM_r.Px.Rat..W.Schiffer.","ColliculusInferior_l.Px.Rat..W.Schiffer.","ColliculusInferior_r.Px.Rat..W.Schiffer.","Thalamus_l.Px.Rat..W.Schiffer.","Thalamus_r.Px.Rat..W.Schiffer.","Pituitary.Px.Rat..W.Schiffer.","Cerebellum.blood.Px.Rat..W.Schiffer.","CentralCanal.PAG.Px.Rat..W.Schiffer.","Pons.Px.Rat..W.Schiffer.","Septum.Px.Rat..W.Schiffer.","Medulla.Px.Rat..W.Schiffer."
"Accumbens_l.Px.Rat..W.Schiffer.",1,0.904761904761905,0.976190476190476,0.976190476190476,0.928571428571429,0.904761904761905,0.547619047619048,0.166666666666667,0.619047619047619,0.80952380952381,1,0.904761904761905,0.571428571428572,0.80952380952381,0.928571428571429,0.738095238095238,0.952380952380953,0.976190476190476,0.0714285714285714,0.476190476190476,0.904761904761905,0.976190476190476,0.285714285714286,0.261904761904762,0.80952380952381,0.80952380952381,0.19047619047619,0.404761904761905,0.428571428571429,0.452380952380952,0.904761904761905,0.976190476190476,0.952380952380953,0.880952380952381,0.904761904761905,1,1,0.976190476190476,0.904761904761905,0.714285714285714,0.904761904761905,0.80952380952381,0.928571428571429,1,0.880952380952381,0.80952380952381,0.904761904761905,0.833333333333333,0.714285714285714,0.642857142857143,0.904761904761905,0.928571428571429,0.761904761904762,0.904761904761905,1,1,1,0.928571428571429
"Accumbens_r.Px.Rat..W.Schiffer.",0.904761904761905,1,0.857142857142857,0.952380952380953,0.976190476190476,1,0.714285714285714,0.30952380952381,0.714285714285714,0.904761904761905,0.904761904761905,0.952380952380953,0.261904761904762,0.619047619047619,0.904761904761905,0.833333333333333,0.904761904761905,0.952380952380953,0.19047619047619,0.547619047619048,0.738095238095238,0.952380952380953,0.476190476190476,0.476190476190476,0.904761904761905,0.904761904761905,0.404761904761905,0.595238095238095,0.595238095238095,0.571428571428572,0.880952380952381,0.952380952380953,0.976190476190476,0.928571428571429,0.857142857142857,0.904761904761905,0.904761904761905,0.928571428571429,0.880952380952381,0.833333333333333,0.952380952380953,0.857142857142857,0.904761904761905,0.904761904761905,0.976190476190476,0.904761904761905,0.952380952380953,0.880952380952381,0.833333333333333,0.761904761904762,0.952380952380953,0.976190476190476,0.571428571428572,0.928571428571429,0.904761904761905,0.904761904761905,0.904761904761905,0.761904761904762
"Amygdala_l.Px.Rat..W.Schiffer.",0.976190476190476,0.857142857142857,1,0.952380952380953,0.880952380952381,0.857142857142857,0.452380952380952,0.0714285714285714,0.547619047619048,0.761904761904762,0.976190476190476,0.857142857142857,0.5,0.761904761904762,0.857142857142857,0.619047619047619,0.928571428571429,0.952380952380953,-0.0714285714285714,0.380952380952381,0.952380952380953,0.952380952380953,0.166666666666667,0.142857142857143,0.761904761904762,0.761904761904762,0.0238095238095238,0.261904761904762,0.380952380952381,0.380952380952381,0.880952380952381,0.952380952380953,0.928571428571429,0.833333333333333,0.880952380952381,0.976190476190476,0.976190476190476,0.952380952380953,0.880952380952381,0.666666666666667,0.880952380952381,0.738095238095238,0.904761904761905,0.976190476190476,0.80952380952381,0.738095238095238,0.833333333333333,0.761904761904762,0.666666666666667,0.571428571428572,0.880952380952381,0.880952380952381,0.785714285714286,0.857142857142857,0.976190476190476,0.976190476190476,0.976190476190476,0.904761904761905
"Amygdala_r.Px.Rat..W.Schiffer.",0.976190476190476,0.952380952380953,0.952380952380953,1,0.976190476190476,0.952380952380953,0.666666666666667,0.30952380952381,0.738095238095238,0.904761904761905,0.976190476190476,0.952380952380953,0.476190476190476,0.761904761904762,0.904761904761905,0.761904761904762,0.976190476190476,1,0.19047619047619,0.547619047619048,0.857142857142857,1,0.428571428571429,0.404761904761905,0.904761904761905,0.904761904761905,0.285714285714286,0.5,0.595238095238095,0.595238095238095,0.928571428571429,1,0.976190476190476,0.952380952380953,0.880952380952381,0.976190476190476,0.976190476190476,0.952380952380953,0.928571428571429,0.833333333333333,0.928571428571429,0.880952380952381,0.904761904761905,0.976190476190476,0.904761904761905,0.833333333333333,0.928571428571429,0.857142857142857,0.833333333333333,0.761904761904762,0.928571428571429,0.976190476190476,0.666666666666667,0.952380952380953,0.976190476190476,0.976190476190476,0.976190476190476,0.904761904761905
"Striatum_l.Px.Rat..W.Schiffer.",0.928571428571429,0.976190476190476,0.880952380952381,0.976190476190476,1,0.976190476190476,0.738095238095238,0.428571428571429,0.785714285714286,0.928571428571429,0.928571428571429,0.976190476190476,0.404761904761905,0.690476190476191,0.928571428571429,0.857142857142857,0.952380952380953,0.976190476190476,0.285714285714286,0.571428571428572,0.785714285714286,0.976190476190476,0.523809523809524,0.5,0.928571428571429,0.928571428571429,0.428571428571429,0.619047619047619,0.666666666666667,0.642857142857143,0.904761904761905,0.976190476190476,0.952380952380953,0.976190476190476,0.833333333333333,0.928571428571429,0.928571428571429,0.904761904761905,0.904761904761905,0.857142857142857,0.904761904761905,0.928571428571429,0.857142857142857,0.928571428571429,0.952380952380953,0.880952380952381,0.976190476190476,0.904761904761905,0.857142857142857,0.80952380952381,0.904761904761905,1,0.523809523809524,0.976190476190476,0.928571428571429,0.928571428571429,0.928571428571429,0.833333333333333
"Striatum_r.Px.Rat..W.Schiffer.",0.904761904761905,1,0.857142857142857,0.952380952380953,0.976190476190476,1,0.714285714285714,0.30952380952381,0.714285714285714,0.904761904761905,0.904761904761905,0.952380952380953,0.261904761904762,0.619047619047619,0.904761904761905,0.833333333333333,0.904761904761905,0.952380952380953,0.19047619047619,0.547619047619048,0.738095238095238,0.952380952380953,0.476190476190476,0.476190476190476,0.904761904761905,0.904761904761905,0.404761904761905,0.595238095238095,0.595238095238095,0.571428571428572,0.880952380952381,0.952380952380953,0.976190476190476,0.928571428571429,0.857142857142857,0.904761904761905,0.904761904761905,0.928571428571429,0.880952380952381,0.833333333333333,0.952380952380953,0.857142857142857,0.904761904761905,0.904761904761905,0.976190476190476,0.904761904761905,0.952380952380953,0.880952380952381,0.833333333333333,0.761904761904762,0.952380952380953,0.976190476190476,0.571428571428572,0.928571428571429,0.904761904761905,0.904761904761905,0.904761904761905,0.761904761904762
"AuditoryCortex_l.Px.Rat..W.Schiffer.",0.547619047619048,0.714285714285714,0.452380952380952,0.666666666666667,0.738095238095238,0.714285714285714,1,0.571428571428572,0.928571428571429,0.904761904761905,0.547619047619048,0.690476190476191,0.19047619047619,0.619047619047619,0.571428571428572,0.761904761904762,0.619047619047619,0.666666666666667,0.714285714285714,0.928571428571429,0.261904761904762,0.666666666666667,0.904761904761905,0.857142857142857,0.904761904761905,0.904761904761905,0.738095238095238,0.928571428571429,0.880952380952381,0.80952380952381,0.547619047619048,0.666666666666667,0.642857142857143,0.833333333333333,0.404761904761905,0.547619047619048,0.547619047619048,0.523809523809524,0.547619047619048,0.928571428571429,0.571428571428572,0.880952380952381,0.452380952380952,0.547619047619048,0.666666666666667,0.547619047619048,0.690476190476191,0.571428571428572,0.928571428571429,0.976190476190476,0.571428571428572,0.738095238095238,0.19047619047619,0.690476190476191,0.547619047619048,0.547619047619048,0.547619047619048,0.619047619047619
"AuditoryCortex_r.Px.Rat..W.Schiffer.",0.166666666666667,0.30952380952381,0.0714285714285714,0.30952380952381,0.428571428571429,0.30952380952381,0.571428571428572,1,0.690476190476191,0.5,0.166666666666667,0.452380952380952,0.285714285714286,0.119047619047619,0.261904761904762,0.428571428571429,0.380952380952381,0.30952380952381,0.833333333333333,0.357142857142857,0.0238095238095238,0.30952380952381,0.738095238095238,0.714285714285714,0.5,0.5,0.642857142857143,0.571428571428572,0.785714285714286,0.80952380952381,0.333333333333333,0.30952380952381,0.19047619047619,0.523809523809524,0.0714285714285714,0.166666666666667,0.166666666666667,0.0476190476190476,0.333333333333333,0.547619047619048,0.142857142857143,0.595238095238095,0,0.166666666666667,0.285714285714286,0.30952380952381,0.404761904761905,0.428571428571429,0.547619047619048,0.619047619047619,0.142857142857143,0.428571428571429,-0.404761904761905,0.5,0.166666666666667,0.166666666666667,0.166666666666667,0.214285714285714
"CingulateCortex_l.Px.Rat..W.Schiffer.",0.619047619047619,0.714285714285714,0.547619047619048,0.738095238095238,0.785714285714286,0.714285714285714,0.928571428571429,0.690476190476191,1,0.904761904761905,0.619047619047619,0.714285714285714,0.333333333333333,0.619047619047619,0.595238095238095,0.690476190476191,0.761904761904762,0.738095238095238,0.738095238095238,0.80952380952381,0.428571428571429,0.738095238095238,0.904761904761905,0.738095238095238,0.904761904761905,0.904761904761905,0.714285714285714,0.833333333333333,0.952380952380953,0.833333333333333,0.714285714285714,0.738095238095238,0.666666666666667,0.880952380952381,0.523809523809524,0.619047619047619,0.619047619047619,0.547619047619048,0.714285714285714,0.952380952380953,0.619047619047619,0.904761904761905,0.5,0.619047619047619,0.642857142857143,0.619047619047619,0.714285714285714,0.690476190476191,0.952380952380953,0.976190476190476,0.619047619047619,0.785714285714286,0.238095238095238,0.80952380952381,0.619047619047619,0.619047619047619,0.619047619047619,0.690476190476191
"CingulateCortex_r.Px.Rat..W.Schiffer.",0.80952380952381,0.904761904761905,0.761904761904762,0.904761904761905,0.928571428571429,0.904761904761905,0.904761904761905,0.5,0.904761904761905,1,0.80952380952381,0.904761904761905,0.30952380952381,0.714285714285714,0.761904761904762,0.785714285714286,0.857142857142857,0.904761904761905,0.476190476190476,0.785714285714286,0.595238095238095,0.904761904761905,0.714285714285714,0.714285714285714,1,1,0.5,0.738095238095238,0.833333333333333,0.80952380952381,0.785714285714286,0.904761904761905,0.880952380952381,0.976190476190476,0.666666666666667,0.80952380952381,0.80952380952381,0.785714285714286,0.785714285714286,0.976190476190476,0.80952380952381,0.952380952380953,0.714285714285714,0.80952380952381,0.833333333333333,0.714285714285714,0.857142857142857,0.738095238095238,0.976190476190476,0.952380952380953,0.80952380952381,0.928571428571429,0.428571428571429,0.880952380952381,0.80952380952381,0.80952380952381,0.80952380952381,0.80952380952381
